symptome01,symptome02,symptome03,symptome04,symptome05,symptome06,symptome07,symptome08,symptome09,symptome10,symptome11,symptome12,symptome13,symptome14,maladie
fièvre,mal de tête, frissons, faiblesse ,ganglions inflammatoires,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste bubonique
fièvre,mal de tête,malaise général,pneumonie avec des essoufflements, douleurs thoraciques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste pulmonaire
fièvre,mal de tête, frissons, malaise général, douleurs abdominales,saignements de la peau et des autres organes,peau noirs au niveau des doigts,peau noirs au niveau des orteils et du nez,peau noirs au niveau du nez,choc endotoxique,coagulation intravasculaire disséminée.,inconnu,inconnu,inconnu,Peste septicémique
fièvre,mal de tête, frissons, faiblesse ,ganglions inflammatoires,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste bubonique
fièvre,mal de tête,malaise général,pneumonie avec des essoufflements, douleurs thoraciques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste pulmonaire
fièvre,mal de tête, frissons, malaise général, douleurs abdominales,saignements de la peau et des autres organes,peau noirs au niveau des doigts,peau noirs au niveau des orteils et du nez,peau noirs au niveau du nez,choc endotoxique,coagulation intravasculaire disséminée.,inconnu,inconnu,inconnu,Peste septicémique
fièvre,mal de tête, frissons, faiblesse ,ganglions inflammatoires,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste bubonique
fièvre,mal de tête,malaise général,pneumonie avec des essoufflements, douleurs thoraciques,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Peste pulmonaire
fièvre,mal de tête, frissons, malaise général, douleurs abdominales,saignements de la peau et des autres organes,peau noirs au niveau des doigts,peau noirs au niveau des orteils et du nez,peau noirs au niveau du nez,choc endotoxique,coagulation intravasculaire disséminée.,inconnu,inconnu,inconnu,Peste septicémique
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
L’hématurie (sang dans les urines),inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Schistosomiase urogénitale
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
fièvre,mal de tête,démangeaisons,douleurs musculaires,gonflement du visage,ganglions lymphatiques enflés,perte de poids,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,Trypanosoma brucei gambiense
